2016.03.20 23.57.27 1 INFO: S E R V E R   S T A R T E D
2016.03.20 23.57.43 14 INFO:  --> New Connection:/127.0.0.1:49690
2016.03.20 23.57.43 14 INFO:  --> End Connection:/127.0.0.1:49690
2016.03.20 23.57.51 15 INFO:  --> New Connection:/127.0.0.1:49693
2016.03.20 23.57.51 15 INFO:  --> File to be uploaded = simpleFileReceptor stack.htm
2016.03.20 23.57.51 15 INFO:  --> File zu
2016.03.20 23.57.51 15 INFO:  --> Req behandelt
2016.03.20 23.57.51 15 INFO:  --> Res gesendet
2016.03.20 23.57.51 15 INFO:  --> End Connection:/127.0.0.1:49693
2016.03.20 23.57.51 16 INFO:  --> New Connection:/127.0.0.1:49694
2016.03.20 23.57.51 16 INFO:  --> File to be uploaded = simpleFileReceptor dropzone org.htm
2016.03.20 23.57.51 16 INFO:  --> File zu
2016.03.20 23.57.51 16 INFO:  --> Req behandelt
2016.03.20 23.57.51 16 INFO:  --> Res gesendet
2016.03.20 23.57.51 16 INFO:  --> End Connection:/127.0.0.1:49694
2016.03.20 23.57.51 17 INFO:  --> New Connection:/127.0.0.1:49695
2016.03.20 23.57.51 17 INFO:  --> File to be uploaded = simpleFileReceptor selfhtml.htm
2016.03.20 23.57.51 17 INFO:  --> File zu
2016.03.20 23.57.51 17 INFO:  --> Req behandelt
2016.03.20 23.57.51 17 INFO:  --> Res gesendet
2016.03.20 23.57.51 17 INFO:  --> End Connection:/127.0.0.1:49695
2016.03.20 23.57.51 18 INFO:  --> New Connection:/127.0.0.1:49696
2016.03.20 23.57.51 18 INFO:  --> File to be uploaded = old simpleFileReceptor.htm
2016.03.20 23.57.51 18 INFO:  --> File zu
2016.03.20 23.57.51 18 INFO:  --> Req behandelt
2016.03.20 23.57.51 18 INFO:  --> Res gesendet
2016.03.20 23.57.51 18 INFO:  --> End Connection:/127.0.0.1:49696
2016.03.20 23.57.51 19 INFO:  --> New Connection:/127.0.0.1:49697
2016.03.20 23.57.51 19 INFO:  --> File to be uploaded = old form 1.htm
2016.03.20 23.57.51 19 INFO:  --> File zu
